62,https://p0.meituan.net/movie/7b7d1f8aa36d7a15463ce6942708a1a7265296.jpg,美丽心灵,"罗素·克洛,詹妮弗·康纳利,艾德·哈里斯",2001-12-21,美国,8.8
63,https://p0.meituan.net/movie/fcc17667b8343131101eeb4c67d90bf9150883.jpg,无敌破坏王,"约翰·C·赖利,萨拉·西尔弗曼,简·林奇",2012-11-6,未知,9.1
64,https://p1.meituan.net/movie/96d98200d2afb4b87ff189f9c15b6545568339.jpg,倩女幽魂,"张国荣,王祖贤,午马",2011-4-30,未知,9.2
65,https://p0.meituan.net/movie/7ec873ba943f13e3c63789d899bd0e23256871.jpg,夜访吸血鬼,"汤姆·克鲁斯,布拉德·皮特,克尔斯滕·邓斯特",1994-11-11,美国,8.8
66,https://p1.meituan.net/movie/96bb58f3e9d213fb0438987d16d27561379209.jpg,蝙蝠侠：黑暗骑士崛起,"克里斯蒂安·贝尔,迈克尔·凯恩,加里·奥德曼",2012-8-27,未知,8.9
67,https://p1.meituan.net/movie/bb0eca029cd25329776a4549b3fbe262924727.jpg,哈利·波特与死亡圣器（下）,"丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃特森",2011-8-4,未知,9
68,https://p1.meituan.net/movie/484171372de45945e8bbbcc97db57e09136701.jpg,钢琴家,"艾德里安·布洛迪,艾米莉娅·福克斯,米哈乌·热布罗夫斯基",2002-9-25,法国,8.8
69,https://p0.meituan.net/movie/2526f77c650bf7cf3d5ee2dccdeac332244951.jpg,本杰明·巴顿奇事,"布拉德·皮特,凯特·布兰切特,塔拉吉·P·汉森",2008-12-25,美国,8.8
70,https://p1.meituan.net/movie/0b0d45b58946078dd24d4945dd6be3b51329411.jpg,甜蜜蜜,"黎明,张曼玉,曾志伟",2015-2-13,未知,9.2
51,https://p1.meituan.net/movie/ca4a128a5a54d5b5e35ceba622636c831810197.jpg,三傻大闹宝莱坞,"阿米尔·汗,黄渤,卡琳娜·卡普",2011-12-8,未知,9.1
52,https://p0.meituan.net/movie/2e383b5f5f306f10f9f26d9f1c28cf1d825537.jpg,黑客帝国3：矩阵革命,"基努·里维斯,雨果·维文,凯瑞-安·莫斯",2003-11-5,未知,8.8
72,https://p1.meituan.net/movie/1e700e53e4fe29dd5942381bb353c8532239179.jpg,触不可及,"弗朗索瓦·克鲁塞,奥玛·希,安娜·勒尼",2011-11-2,法国,9.1
